"category","path","action","note","method","existed_before_delete","size_before_delete","file_count_before_delete","exists_after","size_after","file_count_after"
"test-artifacts","test-artifacts","deleted","remaining untracked/ignored content after git rm","Remove-Item-longpath-prefix after error: Could not find a part of the path 'C:\Users\style\Documents\Codex\RocketFlow\test-artifacts\2026-05-19\gate-closure\android-connected\gradle-build\app\intermediates\desugar_graph\debug\dexBuilderDebug\out\currentProject\jar_6dd52c506aeb0820461fa7e3b86d09b0397d5dfd891d445391326babc017acab_bucket_0'.","True","5962420169","63322","False","0","0"
"screenshots","screenshots","deleted","screenshots copied or skipped secret-risk","Remove-Item","True","8489682","77","False","0","0"
"tmp-file","tmp-collapse-window.xml","deleted","explicit cleanup target","Remove-Item","True","51892","1","False","0","0"
"browser-logs","browser-logs","deleted","generated browser logs","Remove-Item","True","423","1","False","0","0"
"web/dist","web/dist","deleted","web build output","Remove-Item","True","458915","10","False","0","0"
"backend/target","backend/target","deleted","backend build output","Remove-Item","True","117757977","329","False","0","0"
"android/.gradle","android/.gradle","deleted","android gradle cache","Remove-Item","True","8509097","18","False","0","0"
"android/app/build","android/app/build","deleted","android app build output","Remove-Item","True","36250435","1491","False","0","0"
"android/build","android/build","deleted","android build output","Remove-Item","True","133109","1","False","0","0"
"tmp","tmp/android-local-backend-smoke","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","69690406","1425","False","0","0"
"tmp","tmp/apk","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","4107216","1","False","0","0"
"tmp","tmp/chrome-debug-test","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","5084024","161","False","0","0"
"tmp","tmp/chrome-ios-smoke","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","31617621","284","False","0","0"
"tmp","tmp/chrome-ios-smoke-debug","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","11233163","257","False","0","0"
"tmp","tmp/iphone-android-smoke","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","2418925","29","False","0","0"
"tmp","tmp/manual-emulator-smoke","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","2362321","52","False","0","0"
"tmp","tmp/mvp2-prod-smoke","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","1974990","22","False","0","0"
"tmp","tmp/mvp2-reminders-smoke","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","97409744","1373","False","0","0"
"tmp-protected","tmp/prod-db-backups","preserved","explicitly excluded by user","","True","","","True","",""
"tmp","tmp/release_1_backend_build","deleted","tmp cleanup excluding prod-db-backups","Remove-Item","True","116663555","369","False","0","0"
