"category","path","exists","file_count","size_bytes"
"test-artifacts","test-artifacts","True","71936","6517045361"
"screenshots","screenshots","True","77","8489682"
"tmp-file","tmp-collapse-window.xml","True","1","51892"
"tmp-excluding-prod-db-backups","tmp","True","4017","345158690"
"browser-logs","browser-logs","True","1","423"
"web/dist","web/dist","True","10","458915"
"backend/target","backend/target","True","329","117757977"
"android/.gradle","android/.gradle","True","18","8509097"
"android/app/build","android/app/build","True","1491","36250435"
"android/build","android/build","True","1","133109"
